,text
836,"Job SummaryThe Business Analyst plays a key role in working with a project manager. Must be able to manage and perform detailed requirements analysis, documenting the process, and performing some user acceptance testing. To succeed in this role the employee should have a natural analytical way of thinking and be able to explain difficult concepts to non- technical users.Responsibilities and DutiesEvaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.Leading ongoing reviews of business processes and developing optimization strategies.Staying up-to-date on the latest process and IT advancements to automate and modernize systems.Conducting meetings and presentations to share ideas and findings.Performing a requirements analysis.Effectively communicating your insights and plans to cross-functional team members and management.Gathering critical information from meetings with various stakeholders and producing useful reports.Working closely with clients, technicians, and managerial staff.Providing leadership, training, coaching, and guidance to junior staff.Allocating resources and maintaining cost efficiency.Ensuring solutions meet business needs and requirements.Performing user acceptance testing.Updating, implementing and maintaining procedures.Prioritizing initiatives based on business needs and requirements.Serving as a liaison between stakeholders and users.Monitoring deliverables and ensuring timely completion of projects.Qualifications and SkillsA bachelor’s degree in business or related field or an MBA.A minimum of 4 years experience in business analysis or a related field.Exceptional analytical and conceptual thinking skills.The ability to influence stakeholders and work closely with them to determine acceptable solutions.Excellent documentation skills.Experience creating detailed reports and giving presentations.Competency in Microsoft applications including Word, Excel, and Outlook.A track record of following through on commitments.Excellent planning, organizational, and time management skills.Experience leading and developing top performing teams.A history of leading and supporting successful projects.Job Type: Full-timeExperience:Business Analyst: 4 years (Required)CRM: 3 years (Required)Salesforce: 2 years (Required)Location:Lavallette, NJ (Preferred)Work authorization:United States (Required)"
837,"Applies advanced subject matter knowledge to solve complex business issues and is regarded as a subject matter expert. Frequently contributes to the development of new ideas and methods. Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors. Leads and/or provides expertise to functional project teams and may participate in cross-functional initiatives. Acts as an expert providing direction and guidance to process improvements and establishing policies. Exercises significant independent judgment within broadly defined policies and practices to determine best method for accomplishing work and achieving objectives. May provide mentoring and guidance to lower level employees.

Responsibilities:
Leads complex data and business analyses to develop business plans, and identifies recommendations and insights.
Works independently to construct highly complex statistical and financial models to forecast business performance; coaches others on model development.
Establishes the metrics required to measure business performance, and develops the process for identifying and addressing performance gaps.
Manages complex, time- sensitive market research projects and prepares synthesized intelligence reports with clear implications.
Leads cross-functional teams across the entire span of business planning activities.
Contributes to priority projects by adding creative insights and developing recommendations.
Partners with business leaders to develop business plans and proactively identify new opportunities.
Develops go-forward business plan recommendations based on potential risks and returns.
Identifies cutting-edge analytical tools, models, and methods for making key business decisions.
Education and Experience Required:
Typically 6-10 years work experience in strategy, planning, operations, finance, or related functional area. Advanced university degree (e.g., MBA) or demonstrable equivalent desired.

Knowledge and Skills:
Extensive knowledge of research methodology for key business issues.
Excellent analytical thinking, technical analysis, and data manipulation skills.
Ability to leverage new analytical techniques to develop creative approaches to business analysis.
Extensive knowledge and understanding of how to analyze business problems using Excel, Access or SQL, statistical analysis, and financial modeling.
Power BI, Tableau or similar visualization experience.
Strong business acumen and technical knowledge within area of responsibility.
Excellent verbal and written communication skills.
Very strong project management skills, including leading large, cross-functional initiatives.
Strong relationship management skills, including partnering and consulting.
Developed leadership skills, including team-building, conflict resolution, and management.
Ability to identify emerging trends from market and industry data.
#LI-Post"
838,"Business Analyst Experience in business process, work process, translating business processes into process maps, root cause analysis, and identifying, analyzing, and providing solutions to a range of business issues and problems. Require Master in Computer Science or Engineering or Related or Bachelor in Computer Science or Engineering or Related and 5+ yrs of progressive exp"
839,"Job Description
New Selling Partners are the lifeblood of the Amazon Marketplace, and we are currently expanding the number and types of programs that we offer these partners to ensure that their business is successful on Amazon. As such, we are seeking an experienced Business Analyst who can work with our Sales and Marketing teams to uncover insights that will allow us to accelerate performance and optimize productivity.

In this role, you'll create systems and tracking mechanisms that draw from a wealth of quantitative and qualitative data to measure our performance against our goals and to develop insights on how we can improve performance. These insights will play a key role in making decisions on how we expand or contract programs and how these programs are adopted at scale worldwide. You will also help us create new ideas for how to better serve our Selling Partners and work with teams to test ideas (and scale successful ones).

The ideal candidate will be a naturally inquisitive self-starter who can dig deep into data to make connections that others might miss. You'll translate those connections into actions that can be taken to drive our business, and you'll use your strong communication skills to confidently influence all levels of the organization...and you'll be comfortable working within a team of business partners who view you as the indispensable resource who can help them with their data needs.
Basic Qualifications
4+ years of experience as a Business/Financial Analyst, BI Engineer or Systems Analyst preferably in an internet-based company with large, complex data sources
Proficient in multiple flavors of SQL, (e.g. PostgreSQL, MySQL, Redshift)
Experience in data visualization platforms (e.g. Tableau, PowerBI, Quicksight)
Ability to take complex business problems and translate them into clear and accurate results
Proven analytical and quantitative skills and an ability to use hard data and metrics to back up assumptions, develop business cases, and complete root cause/ analyses
Ability to prioritize multiple concurrent projects while still delivering timely and accurate results
Demonstrated ability to work effectively with Data Engineers and BI Engineers to mine the right data sources efficiently and accurately
Strong verbal and written communications skills at an executive level that enable you to explain complex insights with clarity and precision
Bachelor's degree in Data Analytics, Quantitative Analysis, or Statistics
Preferred Qualifications
Experience working with both business and operations teams with deep experience on existing systems and data sources
Master’s degree, MBA or equivalent experience in Data Analytics, Quantitative Analysis, or Statistics"
840,"ContractJob SummaryIn order to support the business growth, Client is looking for a business analyst / IT specialized in Summit.This is a Front to Back office position within the business analyst group of Clients IT department.He/She is managing several projects aiming at:Retiring legacy systems and migrate trades in Summit Head Office.Deploying new instrumentsImplementing and improving settlement, confirmation and clearing workflowsImplementing regulatory reporting and maintaining quality of the dataRemediating the quality of dataIdentify and collect irregularities in business operations procedures and propose changes and new methodologiesHe/She also supports Fixed Income and Treasury activities as well as back office stakeholders by addressing functional issues/questions. Position requires a full transversal overview of the trade workflow from the input until settlement.Responsibilities and DutiesFor all that relates to Fixed Income, Treasury and Credit business:Project Management / Business Analysis:Definition with Business Management and end-users of project prioritiesProject scoping and planning, progress reporting, identification and management of issues/risks and communications.Close collaboration with the user representatives (traders, sales, operations, etc…) to determine business requirements, including the identification of any potential issue or functional omissions; define and document the business requirements.Write detailed functional specifications for IT development teamsDevelopment of user test cases and validate test results during user acceptance testing, training with Summit end-users. Coordinate the go live and ensure proper system behaviour.Functional support / maintenance:Responsible for quick resolution of day-to-day issues on Summit (booking, pricing, straight through processing, settlement, reporting, accounting…)Monitor the trade workflow and make sure statements and regulatory reporting are accurately producedRequired Experience, Skills and QualificationsMinimum 5 years’ experience in business analysis functions in the Finance industryDeep knowledge on Summit, must be familiar with products traded on Fixed Income, Treasury and Credit business.Must be familiar with Summit STP services for accounting, operations and settlements workflows.Deep IT knowledge, the successful candidate must be able to review source code, write and execute SQL queries and read/understand a scriptAbility to analyze complex problems, with strong attention to detail and ability to provide solutions to problems.Ability to prioritize and multi-task in a fast paced environment on multiple applications.Job Type: ContractExperience:Business Analysis: 3 years (Preferred)Location:New York, NY 10001 (Preferred)Work authorization:United States (Preferred)"
841,"Gathering and cleansing large datasets

Developing complex analytical models utilizing Excel and Access
Pricing benchmarking
Synthesizing results of analysis

Analysts work closely with consultants and managers in a team setting.

Skills and Qualifications. Candidates must possess exceptional quantitative and analytical skills to be considered for this position. Additionally, being a team player and having initiative are important. Analysts must pay keen attention to detail, and be able to work effectively both independently and in a team environment.

Education. Undergraduate degree in a quantitative discipline required.

Location. Treya is looking for a West Coast-based analyst. The analyst would work with the team 2 - 4 times a month in Los Angeles or San Francisco, and work from their home office the remainder of the time.

Other. Proficiency in Microsoft Office, including Excel, Access, and PowerPoint, is expected.
Apply for position"
842,"About Us
With a small team of smart people who like working hard and have fun too, we released the most disruptive enterprise management software in the world: Odoo. Fully open source, full-featured, with apps like CRM, Billing, eCommerce, Accounting, HR, Manufacturing, and 4,000 more. Its online offer is 3 times more affordable than traditional competitors like SAP and Microsoft.
You think it's too good to be true? See for yourself. Preview our 1-click demo and read what people say about Odoo on Twitter.
Start a career with us. We offer you an extraordinary chance to learn and grow. Be involved with a very exciting product and a great team behind it.

Responsibilities
Business Analysts advise Odoo's clients on ways to effectively leverage Odoo's software for maximum operational efficiency.
Evaluate clients' operational processes, sales strategies, and organizational design to discover areas of inefficiency and develop recommendations to better manage their customers and staff.
Analyze customers' needs and business processes in order to map them properly with Odoo.
Quantify resources required for a task/project.
Accompany customers in the full implementation cycle, from software configuration to go-live.
Coach customers on how to use Odoo efficiently through individual training sessions.
Optionally, deliver Odoo functional training sessions on site or online one week every 2 months to train end-users or employees coming from our customers and partners (8-15 people per session).
Support the sales team during pre-sale.
Your Profile
Must Have
Bachelor's degree in Business Administration, IS/IT, or Computer Science
Between 1 and 5 years of experience
Excellent planning and communication skills
Ability to learn fast and execute accordingly
An affinity with the IT world, you understand what an ERP is and what open source is
Nice to Have
Immediate availability
Available to travel 3% of your time

Spanish as a first or second language
Values
You are able to work in a fast paced start-up environment with a hands-on attitude
You are open-minded and can react to change with agility
You have an intrapreneur mindset and are not afraid to take appropriate initiatives
You are a quick and autonomous learner
You have a passion for software
You are a good fit to a young and dynamic company
You are approachable, honest, and a fun team player
Employees with Benefits
Compensation and Perks
We offer you the opportunity to join a popular open source project and receive a complete functional Odoo training. Also, a great experience in state-of-the-art web technologies and agile development in a nice working atmosphere with a young and passionate team.
And last but not least, we offer you a full-time job with an attractive salary and benefits package.
Benefits
Healthcare, dental, vision, life insurance, Flexible Spending Account (FSA), Health Savings Account (HSA)

PTOs
Vacation time, sick leave, and standard holiday paid time off.

Save on commute
Pre-tax commuter benefits

(parking and transit)
Discount Programs
Brand-name product and services in categories like travel, electronics, health, fitness, cellular, and more
Prime location
Right off Highway 101, free employee parking, walking distance from MUNI as well as a short drive to dozens of local restaurants.


Sponsored Events
Tuesday Employee Dinners, Monthly Lunch Mixers, Monthly Happy Hours,
Annual Team-Building Event, etc.

Sport Activity
Play any sport with at least six colleagues and the bill is covered by Odoo. Large game room in the office for everyone to enjoy!

Eat & Drink
Peet's and Philz coffee as well as pantry snacks provided free for all employees."
843,"The Business Analyst I gathers business requirements, manages customer relationships and performs quality assurance activities to support internal and external business processes and service offerings.Product Management Design, develop and maintain documentation of assigned company productsIdentify and suggest patterns within existing processes to introduce and increase efficiencies throughoutManage customer onboarding, documentation and deliverables, and conduct trainingFacilitate import/export/transformation of data including preparation & formatting, aggregation, transportation, logging and auditingDefining project scope and objectives, creating and maintaining project schedules, monitoring milestone completion, providing timely reporting of project progress, and resolving project conflictsManage and route incoming tickets for developmentCritically evaluate information gathered from multiple sources, reconcile conflicts and distinguish user requests from the underlying true needsProactively communicate and collaborate with external and internal customers to analyze information needs to deliver: functional requirements, use cases, GUI screen and interface designsAct as a liaison between business units and technology teamsQuality Assurance Through testing and other means, ensure final product development work correctly meets initial business requirementsAssist in defining, developing and implementing quality assurance practices and procedures, end-user test plans and other QA assessmentsManage specific application QA and help desk activities including the tracking of bug reports and change requests to ensure timely resolutionAnalyze discrepancies in service or performance and make recommendations for updatesClient ServiceField general customer inquiries received via phone, email and ticketCreate and follow issue resolution scriptsResearch issues and questions using available information resourcesProvide first level contact and convey resolutions to customersFollow up with customers, provide feedback and see problems through to resolutionIsolate problem trends and ensure that trouble-shooting efforts are completed for recurring problems until permanent solutions are foundCommunicate outages, events and errors to customersKey RequirementsBachelor's degree in a business or technology related fieldStrong analytical and problem solving skillsConscientious and extremely detail orientedUnderstanding of database concepts and web-based paradigmsAbility to analyze and interpret customer business needs and process management systems and translate them into application and operational requirementsAbility to identify critical issues with easeAbility to develop relationships with client personnel to foster ties and increase client satisfactionAbility to manage customer expectations effectivelyTechnical writingCapable of effectively prioritizing and managing multiple ongoing projectsStrong mathematical aptitude, conscientious and detail oriented behaviorA self-starter with the ability to work in a team capacity and independentlyAbility to work under pressureA high degree of attention to detailProficient with Windows, Microsoft Office and Adobe AcrobatExcellent written and verbal communication skillsA valid driver's licenseExperience with SQL, PHP, Ruby, HTML, and/or XML strongly preferredExperience with payments processing strongly preferredJob Type: Full-time"
844,"Unlock Your Career Potential: Technology at ADP. Do you enjoy exploring, identifying and inspiring the future of the workplace and the lives of millions of people? At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and more. We were first in our industry to offer a SaaS solution and continue to push the envelope utilizing the latest operating platforms to deliver the highly automated, intelligent and predictive solutions that are redefining what is possible. Named one of Forbes' ""Most Innovative Companies"" and one of Computerworld's ""100 Best Places to Work in IT"", we are committed to leading the way in product development and research, empowering you to bring to life the latest innovations that will forever change the way businesses manage their most vital asset, employees.
Position Summary:

The ideal candidate will be able to provide detailed functional input into the design and development of Client Relationship Management (CRM) application software to meet end user requirements for usability and functionality. Duties include eliciting business requirements and conducting functional gap analysis to aid in the preparation of comprehensive documentation used in the software development life cycle. The position requires the ability to work collaboratively with all ADP business units, across multiple time-zones, to ensure the on-time delivery of projects; most interactions will be within and across the Employer Services and Corporate IT organizations.

Position Description:

Business Analysis and Documentation * Schedule and facilitate project kick-off and requirements definition meetings and reviews * Elicit business and functional requirements using interviews, document analysis, requirements workshops, surveys, site visits, business process analysis, use cases/scenarios, task and workflow analysis. * Critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs. * Help drive process standardization/simplification in support of enterprise-wide CRM deployment * Develop requirements specifications according to standard templates, using natural language. * Prepare and maintain all documentation necessary to accurately capture and communicate business requirements, and deliver the following artifacts as needed: business requirements, gap analysis, scope definition, functional design, use cases and future state business process workflow documents. * Secures business approval of requirements and scope for assigned projects from all core project team members

Communication and Problem Resolution * Proactively communicate and collaborate with external and internal customers to analyze information needs and functional requirements * Drive and challenge business units on their assumptions of how they will successfully execute their plans * Help socialize the need for process standardization/simplification in support of enterprise-wide CRM deployment * Effectively communicate project status updates, risk assessments and escalations on assigned projects to Stakeholders, Product Management, Development, QA, and other cross-functional teams using multiple communication channels
* Responds and reacts in a professional manner to a variety of critical issues in order to achieve satisfactory resolution. * Anticipates, eliminates and resolves problems in a timely manner.

Product/Project Support * Participate in and represent business enhancements and/or requirements documentation in internal Change Control Board meetings * Provides subject matter expertise to CRM user community for product functionality questions, enhancements and fixes * Provides guidance and knowledge transfer to Quality Assurance team for the development of functional test plans and test scripts * Provides guidance and knowledge transfer to Technical Publications and Learning Services teams for the development of user release and application training materials * Liaison to Tier 1/Tier 2 support teams for questions or issues related to assigned requirements projects deployed to production

Qualifications:

* Strong analytical and product management skills required, including a thorough understanding of how to interpret customer business needs and translate them into application and operational requirements. * Excellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts. * Experienced in facilitating business process analysis and requirements definition sessions with crossfunctional teams * Understands the criticality of analyzing processes and procedures and identifying alternatives and potential unintended consequences * Ability to gather information necessary to make decisions and execute sound judgment in determining the proper course of action * Proven history of successfully overcoming resistance to change while maintaining best-in-class customer service and support * Anticipates, eliminates and resolves problems in a timely manner. * Ability to manage multiple projects and assignments simultaneously and independently. * Works without supervision to meet project deadlines * Accomplishes tasks by monitoring results and adjusting methodology to adapt to a changing environment. * Effectively balance the need to always provide stellar service with the realities of meeting aggressive timelines * Proven history of keeping abreast of current developments and trends in area of expertise and applying process changes as needed * Ability to travel domestically on a quarterly/monthly basis

Education/Experience:

* Bachelors Degree in Process/Industrial Engineering, Communications, Business Administration or related field, or equivalent in education and experience required. * Minimum 4 years experience as business analyst in related industry, with proven proficiencies in basic problem resolution through effective communication and user interaction required * Experienced business analysis and requirements definition of Siebel or other CRM application desired
 #LITECH


Software in the Cloud. Experts on the Ground:
ADP powers the working world with comprehensive solutions that drive business success. Consistently named one of the ""Most Admired Companies"" by FORTUNE® Magazine, and recognized by Forbes® as one of ""The World's Most Innovative Companies,"" ADP has over a half-million clients around the globe and 65 years of experience as one of the largest providers of human capital management solutions world-wide.
At ADP, we believe that diversity fuels innovation. ADP is committed to equal employment opportunities regardless of race, color, genetic information, creed, religion, sex, sexual orientation, gender identity, lawful alien status, national origin, age, marital status, or protected veteran status. We support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance."
845,"Overview
National Interstate is a member of Great American Insurance Group. As one of the leading commercial transportation insurers in the nation, we offer risk financing solutions in all 50 states tailored to meet the needs of a wide variety of transportation classes. Our offerings include traditional insurance and innovative alternative risk transfer (ART) programs, including more than a dozen group captive programs catering to niche wheels markets. We are proud to be a multiple Northcoast 99 winner and Cleveland Plain Dealer Top Workplace in Northeast Ohio. It is because of our talented and dedicated team that we are able to live out our company values of integrity, transparency, fairness, accountability, empowerment and collaboration with each transaction we make. If you are ready to join an engaging and driven team such as ours, we would love to hear from you!
Responsibilities
Formulates and defines systems scope and objectives through research and fact-finding combined with an understanding of applicable business solutions and business requirements:
Analyzes, identifies and writes detailed description of user requirements, program functions, and steps required to develop or modify computer programs.
Makes recommendations for business process improvements with an understanding of technical problems and solutions as they relate to the technology needs.
Prepares analysis for production support of systems and applications and associated documentation.
Acts as a liaison between business and IT. Develops and maintains knowledge of customer's business.
Creates ad hoc reports.
Formulates systems to parallel overall business strategies.
Assists with the design and implementation of operational and system enhancements to ensure production capabilities are both effective and efficient:
Develops test plans and may execute tests.
Maintains and develops business knowledge and customer relationships.
Interviews end users to determine requirements for data, reports and analyses, training, data quality and performance. Has mastered use of standard reporting tools and databases.
Good knowledge of business information data sources and business data rules.
Performs other duties as assigned.
Qualifications
Education: Bachelor’s Degree or equivalent experience.
Field of Study: Information Technology, Business or a related discipline.
Experience: 3 to 5 years of related experience that includes some experience in requirements development and/or experience
designing, coding, testing and/or maintaining application software in a business setting."
846,"Looking for a Business Analyst with experience working in gathering requirements, building specifications and developing applications in various domains. For short term assignments, consultant must be willing to travel Monday to Thursday to our client locations and relocate to client location for project durations over one year. Bachelors degree in Science, Technology, Engineering or Mathematics is required.

careers@denkensolutions.com"
847,"$90,000 - $120,000 a yearOne of our well known clients is looking for a JDE WMS Business Analyst to join their team in the Cincinnati OH, Irvine CA, Dallas TX or Boston MA area for a permanent role. In this role you will identify gaps in the system & provide recommendation, business process requirements gathering, participate in training design, documentation and delivery efforts. This company will be upgrading to 9.2 and you will get to be a part of that upgrade. This is a great opportunity to work with a stable, growing company and they offer relocation assistance if needed.Job Type: Full-timeSalary: $90,000.00 to $120,000.00 /yearWork authorization:United States (Required)"
848,"/ GENERAL DESCRIPTION:
Manage the relationship between the business units and MISD, ensure business objectives are being met by defining requirements to address short and long term solutions, and validate changes in business processes are implemented well and quality field level training is completed. From a support perspective it is expected that research will be conducted on reported or assigned incidents with interim and permanent solutions implemented or recommended as system changes.
ESSENTIAL JOB FUNCTIONS / PRINCIPAL ACCOUNTABILITIES:
Other duties may be assigned. A teammate in this position must have the ability to:
Manage the relationship between the business units and MISD teams.
Be responsible for the elicitation of business requirements and subsequent creation of a business requirements document. Ensure changes, updates and exceptions are documented throughout the project life cycle.
Create work flows, swim lanes, mock screens or screens and other visual aids to demonstrate how the solution should be created.
Collaborate with development and subject matter experts to establish the vision of a project and analyze the tradeoffs between usability and performance needs.
Obtain approval of the business requirements document from the business within the project timeline.
Provide weekly status reporting to ensure everyone included in the project has an understanding of major milestones, timelines, and whether assigned projects are on track to meeting expected delivery dates.
Approve test cases created by Quality Assurance, validating the tests appropriately evaluate the requirements.
Close process related incidents that are assigned based on business issues that are reported to the help desk.
Create adhoc or snapshot reports to aid the business by providing information and working to define long term solutions where needed.
Develop training material as well as maintenance of existing material so business users have an understanding of the systems and solutions that are in place.
Facilitate of meetings as needed.
MINIMUM QUALIFICATIONS AND REQUIREMENTS:
A teammate in this position must have:
Bachelor's degree; emphasis on information systems is preferred
5-10 years of experience working as a business analyst or project manager in a large complex environment
Ability to create business requirements working directly with customers and software vendors
Ability to write test cases, train users and support rollouts at the clients office as required
Strong analysis, organizational, oral and written communication skills
Ability to work on numerous different assignments at one time with demonstrated follow through, attention to detail and commitment to customer service.
Ability to work in stressful situations where time demands are high and have the ability to discern priorities.
Strong business acumen
Ability to provide after hours support as needed.
Ability to travel 30%Must sit in Temple, TX
WORKING CONDITIONS:
Office environment.
InfoTech
TX-Temple
Candidates must pass a background check, drug screen and other job requirements.
McLane is an EOE AA M/F/Vet/Disability."
849,"$68,000 - $102,000 a year (Indeed Est.) ContractEntech is a leading provider of lending platform solutions and consulting services. We deliver enterprise class solutions leveraging data science, innovative thinking, and proven expertise to help our clients bridge the gap between business and technology. The below position will be supporting the Consulting Division of Entech: Sr Business Analysts work under supervision and perform a variety of tasks including developing and maintaining various databases, generating reports, and receiving continuous training while working on a variety of projects.The primary responsibility of an Business Analyst includes supporting data gathering and providing review and analysis of data. Other day-to-day duties include ensuring data integrity, participating in data quality control and validation, and producing requirements documents for various business development activities. A business analyst may also create and execute test scripts under supervision.Principle Duties and Responsibilities:Interacts regularly and directly with the Operations function and has a close user working relationship to ensure industry and best practices are employed.Develops an intimate knowledge of business strategy, business model, and processes in order to identify improvement opportunities and value-added capabilities.Liaises with various business groups and users to understand and analyze business problems in an effort to lead toward viable solutions.QualificationsExcellent communication, computer, and analytical skills.Requires knowledge of IT terms and Functions.Masters' from a reputed University suggested.Bachelor's is MandatoryCandidates need to work on our w2.Entech consulting provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Entech complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, and transfer, leaves of absence, compensation and training.Job Type: ContractExperience:Business Analyst: 3 years (Preferred)"
850,"At World Fuel Services, our employees are the key to our global success.We are industry leaders due to the innumerable talents of our approximately 5000- strong professional team. Our people thrive in an entrepreneurial and culturally-diverse environment, where innovative thinking, collaboration and efficient execution are highly valued. Our high-performance culture is what allows us to drive sustained growth. Stronger together, we promote an environment where individuals can thrive.

When you click 'Apply', you will need to click on 'Create Account'. By creating an account, you will be able to view your applications and their statuses. Your password must contain 1 upper case letter, 1 number, and 1 special character.


World Fuel Services is an equal opportunity employer committed to a diverse and inclusive workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin or any other characteristic protected by law.


Position will work with the Global Product Owner for WFS Fleet Technology to design, build, enhance and manage WFS Fleet Technology. The business analyst will drive process changes throughout the Land division and will work to transition newly acquired firms onto the WFS platform. The role will also assist in managing the technologies on an ongoing basis and develop KPI’s to measure operational performance and business efficiency. The analyst will interface with key stakeholders and translate business requirements into system design and work with business partners to implement technology/process changes. Key responsibilities will include:
Develop and maintain business process documentation and lead business process analysis and redesign activities as it relates to order capture, dispatching of orders to customers and confirmation of delivery.
Lead implementation, change management and business readiness activities as it relates to introducing new technology into the transportation, dispatching and fleet management activities at WFS.
Assist Product Owner in defining business requirements and long-term roadmap for Fleet technology and associated technologies (order capture and delivery confirmation); identifying gaps between business needs and existing functionality in technology; understand gaps/changes between existing functionality/processes and the future state model.
Support communication activities with key stakeholders to include delivering project updates, leading communication activities regarding change management, business readiness and implementation.
Lead training coordination, content development and execution activities on new product delivery activities impacting drivers, dispatchers, customers and 3rd party carriers.
Develop and maintain end user training documentation and deliver training to users as required.
Execute project management processes as it relates to user acceptance testing of new technology and business implementation activities. This would involve schedule management, risk management, issue management, communication planning, change management and business implementation.
Support, analyze, and resolve critical production application issues as required.
Ensure consistency of Fleet technology usage conventions, compliance with best practices, and integrity of data and processes.
Develop reports, dashboards, and processes to continuously monitor system and operational performance.
Required Skills:
BA/BS Degree in Supply Chain Management, Industrial Engineering, Logistics or the equivalent
Strong understanding of project management and business process analysis
3+ years of in depth experience in transportation / logistics highly desirable
3+ years’ experience using TMW, Intellifuels, Touchstar or similar fleet management technology
Experience gathering and consolidating requirements from cross-functional groups. Ability to work under pressure and meet constantly changing timelines.
Knowledge of Agile development methodology
Intermediate Excel skills (Pivot Tables, V-Lookups), ability to use SQL.
Strong attention to detail and excellent problem-solving skills
Strong verbal/written communication and data presentation skills, including an ability to effectively communicate with both business and technical teams
#LI-AS1"
851,"Position Responsibilities/Requirements
GENERAL DUTIES & RESPONSIBILITIES - Business Analyst Entry Level

Performs analyses of the business goals, objectives and needs of the general business environment for appropriate FIS segment, division, group or line of business.Performs research and analysis to support business operations and presents findings to manager or project leader.Plans and designs business processes and make recommendations and changes in order to improve and support business systems and activities and/or to deliver greater effectiveness and efficiency.Utilizes systems and data to resolve business issues in the most effective and productive manner.Identifies and implements best practices and suggests how to improve current practices.Calculates/estimates costs and benefits of alternative actions or solutions to establish their viability/return on investment.Develops recommendations to solve problems and issues related to business operations.Analyzes and documents business processes and metrics and identifies improvement opportunities.May train internal employees on changes to business practices, processes or procedures.May perform special projects upon request and on occasion.May provide coaching and/or guidance to less experienced Business Analysts.Other related duties assigned as needed.

EDUCATION REQUIREMENTS
Bachelor's degree in business administration, finance, computer science or information systems.

GENERAL KNOWLEDGE, SKILLS & ABILITIES
Knowledge of FIS' products and servicesKnowledge of the business goals, objectives and business operations for the appropriate FIS organizationKnowledge of financial services industryKnowledge of basic financial analysis principles and ratiosProficiency in standard office software, such as MS Office, Visio, MS Access, etc.Proficiency in industry-standard process methodologies, e.g., Six Sigma, LEAN, ISO, CMM, etc.Excellent verbal and written communication skills to audiences of various levels in the organization, e.g., executive, management, individual contributorsWillingly shares relevant knowledge and expertise to other resourcesExcellent analytical, decision-making, problem-solving, interpersonal, team, customer service, negotiation, conflict management and time management skillsAbility to persuade and influence others on the best approach to takeAbility to estimate work effort for project sub-plans or small projects and ensure the project is successfully completedIs resourceful and proactive in gathering information and sharing ideas
With a 50-year history rooted in the financial services industry, FIS™ is the world's largest global provider dedicated to financial technology solutions. We champion clients from banking to capital markets, retail to corporate and everything touched by financial services. Headquartered in Jacksonville, Florida, our 53,000 worldwide employees help serve more than 20,000 clients in over 130 countries. Our technology powers billions of transactions annually that move over $9 trillion around the globe. FIS is a Fortune 500 company and is a member of Standard & Poor's 500® Index.

FIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the FIS Online Privacy Notice.

FIS is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, marital status, genetic information, national origin, disability, veteran status, and other protected characteristics. The EEO is the Law poster is available here: www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf and here: www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf

For positions located in the US, the following conditions apply. If you are made a conditional offer of employment, you will be required to undergo a drug test. ADA Disclaimer: In developing this job description care was taken to include all competencies needed to successfully perform in this position. However, for Americans with Disabilities Act (ADA) purposes, the essential functions of the job may or may not have been described for purposes of ADA reasonable accommodation. All reasonable accommodation requests will be reviewed and evaluated on a case-by-case basis.

As part of the selection process this role may require an assessment to determine suitability

Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company.
Recruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company."
